epoch,loss_train/mse_loss,loss_train/stft_loss_magnitude,loss_train/stft_loss_spectral_convergence,loss_train/total_loss,loss_val/mse_loss,loss_val/stft_loss_magnitude,loss_val/stft_loss_spectral_convergence,loss_val/total_loss,metrics/MAE_test,metrics/MAE_val,step
0,,,,,0.03621908649802208,6.277327537536621,1.3875426054000854,7.701089382171631,,0.1527833491563797,3
1,,,,,0.0613698847591877,6.064040660858154,1.1601049900054932,7.285515785217285,,0.2136142998933792,7
2,0.06095990166068077,5.353690147399902,1.0690468549728394,6.582955360412598,,,,,,,9
2,,,,,0.11063908040523529,5.824949264526367,1.0733040571212769,7.008893013000488,,0.30339542031288147,11
3,,,,,0.1826014369726181,5.683089256286621,1.040309190750122,6.905999660491943,,0.40255966782569885,15
4,0.23333372175693512,5.193197727203369,1.0170801877975464,6.5531792640686035,,,,,,,19
4,,,,,0.26153650879859924,5.551027774810791,1.0264102220535278,6.838974952697754,,0.48961955308914185,19
5,,,,,0.3227713406085968,5.503538608551025,1.0207970142364502,6.84710693359375,,0.5479859113693237,23
6,,,,,0.352382630109787,5.469758987426758,1.0187793970108032,6.840920925140381,,0.5741305947303772,27
7,0.34824103116989136,4.995694160461426,1.0119961500167847,6.463493347167969,,,,,,,29
7,,,,,0.35797318816185,5.430273532867432,1.0184705257415771,6.806717872619629,,0.5788978338241577,31
8,,,,,0.35278406739234924,5.44387149810791,1.0188287496566772,6.815484046936035,,0.5744494199752808,35
9,0.3429194986820221,5.107763767242432,1.0138455629348755,6.570216655731201,,,,,,,39
9,,,,,0.3466380834579468,5.4623637199401855,1.0192328691482544,6.828234672546387,,0.5691352486610413,39
10,,,,,,,,,0.5692277550697327,,40
